Name,Color,Current price,Price with citilink card,Product code,Url
Ноутбук Acer Aspire 3 A315-56-50Z5,черный,45 990,45 890,NX.HS5ER.008,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-56-50z5-15-6-intel-core-i5-1035g1-1ggc-8gb-1194682/
Ноутбук ASUS A516EA-BQ1909W,серый,33 390,33 290,90NB0TY1-M00U40,https://www.citilink.ru/product/noutbuk-asus-a516ea-bq1909w-pg-7505-4gb-ssd128gb-15-6-ips-fhd-w11-grey-1654506/
Ноутбук Acer Aspire 3 A315-34-C7CQ,черный,23 990,23 890,NX.HE3ER.01X,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-34-c7cq-pen-n6000-4gb-ssd128gb-15-6-ips-fhd-1521895/
Ноутбук IRBIS NB NB510,черный,35 990,35 890,NB510,https://www.citilink.ru/product/noutbuk-irbis-nb-nb510-i3-5005u-8gb-ssd256gb-5500-15-6-ips-fhd-w10h-si-1616485/
Ноутбук ASUS A416JA-EB1440,серый,47 990,47 890,90NB0ST2-M21970,https://www.citilink.ru/product/noutbuk-asus-a416ja-eb1440-i5-1035g1-8gb-ssd512gb-14-ips-fhd-noos-1583738/
Ноутбук Acer Aspire 5 A515-45-R4P7,серебристый,47 990,47 890,NX.A84ER.00E,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a515-45-r4p7-ryzen-5-5500u-8gb-ssd128gb-15-6-ips-1521427/
Ноутбук Huawei MateBook D 15,серый,99 990,99 890,53012TLM,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-15-i7-1165g7-16gb-ssd512gb-15-6-ips-fhd-w11-1686498/
Ноутбук HP 15s-fq2145ur,серебристый,45 990,45 890,63Z32EA,https://www.citilink.ru/product/noutbuk-hp-15s-fq2145ur-i3-1115g4-8gb-ssd256gb-15-6-ips-fhd-w11-silver-1690643/
Ноутбук DELL Vostro 3400,черный,39 990,39 890,3400-5605,https://www.citilink.ru/product/noutbuk-dell-vostro-3400-i3-1115g4-8gb-ssd256gb-14-wva-fhd-lin-black-1477360/
Ноутбук HAIER U1520HD,черный,18 990,18 890,U1520HD,https://www.citilink.ru/product/noutbuk-haier-u1520hd-cel-n4020-4gb-1tb-emmc64gb-600-15-6-ips-fhd-dos-1611418/
Ноутбук ASUS Vivobook Pro 14 OLED K3400PA-KM047W,синий,78 990,78 890,90NB0UY2-M02000,https://www.citilink.ru/product/noutbuk-asus-k3400pa-km047w-i5-11300h-16gb-ssd512gb-14-oled-wq-w11-1583780/
Ноутбук Xiaomi Pro RedmiBook,серебристый,76 990,76 890,XMA2006-DJ,https://www.citilink.ru/product/noutbuk-xiaomi-pro-redmibook-i5-11320h-16gb-ssd512gb-14-ips-2-5k-w10tr-1643791/
Ноутбук IRBIS NB NB143,черный,14 990,14 890,NB143,https://www.citilink.ru/product/noutbuk-irbis-nb-nb143-cel-n3350-4gb-emmc64gb-500-14-1-ips-fhd-w10h-bl-1512579/
Ноутбук Acer Aspire 5 A515-45-R1K6,серебристый,38 990,38 890,NX.A84ER.00C,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a515-45-r1k6-ryzen-3-5300u-8gb-ssd128gb-15-6-fhd-1521421/
Ноутбук Acer Aspire 3 A315-23-R5HA,черный,33 990,33 890,NX.HVTER.01D,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r5ha-ryzen-3-3250u-8gb-ssd128gb-15-6-fhd-1404134/
Ноутбук HP 250 G8,темно-серебристый,33 990,33 890,2X7X7EA,https://www.citilink.ru/product/noutbuk-hp-250-g8-15-6-intel-pentium-silver-n5030-8gb-256gb-ssd-free-d-1477017/
Ноутбук IRBIS NB NB104,черный,13 990,13 890,NB104,https://www.citilink.ru/product/noutbuk-irbis-nb-nb104-cel-n4020-4gb-emmc64gb-600-11-6-ips-hd-w10-blac-1512606/
Ноутбук Lenovo IdeaPad 3 17ITL6,серый,25 990,25 890,82H9008YRU,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17itl6-cel-6305-4gb-ssd128gb-17-3-tn-hd-w10-g-1487473/
Ноутбук HP 245 G8,темно-серебристый,24 990,24 890,2W8T6EA,https://www.citilink.ru/product/noutbuk-hp-245-g8-14-amd-athlon-silver-3050u-4gb-256gb-ssd-windows-10-1477004/
Ноутбук Huawei MateBook D 16,серый,72 990,72 890,53013ESY,https://www.citilink.ru/product/noutbuk-huawei-matebook-i7-12700h-16gb-ssd512gb-16-ips-w11-grey-space-1774284/
Ноутбук Digma EVE 15 C419,темно-серый,16 990,16 890,ES5065EW,https://www.citilink.ru/product/noutbuk-digma-eve-15-celeron-hd-ips-cel-n4020-4gb-ssd128gb-600-15-6-ip-1497691/
Ноутбук ASUS Vivobook Go 15 E510MA-BQ509W,синий,22 990,22 890,90NB0Q64-M000X0,https://www.citilink.ru/product/noutbuk-asus-vivobook-e510ma-bq509w-cel-n4020-4gb-ssd128gb-15-6-ips-fh-1583406/
Ноутбук Lenovo Thinkbook 15 G3 ACL,серый,43 990,43 890,21A4003ARU,https://www.citilink.ru/product/noutbuk-lenovo-thinkbook-15-g3-acl-ryzen-3-5300u-4gb-ssd256gb-15-6-fhd-1487958/
Ноутбук Huawei MateBook D 14,серый,54 999,54 790,53012JGN,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-14-nbb-wai9-i3-10110u-8gb-ssd256gb-14-ips-fh-1600948/
Ноутбук Apple MacBook Air,серый космос,195 990,195 890,Z1250007M,https://www.citilink.ru/product/noutbuk-apple-macbook-air-13-3-ips-apple-m1-16gb-512gb-ssd-mac-os-z125-1451511/
Ноутбук ASUS A516MA-BR734W,серый,25 990,25 890,90NB0TH1-M003T0,https://www.citilink.ru/product/noutbuk-asus-a516ma-br734w-cel-n4020-4gb-ssd128gb-15-tn-hd-w11-grey-1654523/
Ноутбук IRBIS NB NB656,черный,14 990,14 890,NB656,https://www.citilink.ru/product/noutbuk-irbis-nb-nb656-pen-j3710-4gb-13-5-ips-w10pro-silver-5000mah-1598740/
Ноутбук ASUS Vivobook Pro 15 OLED K3500PA-L1091W,синий,79 990,79 890,90NB0UU2-M03930,https://www.citilink.ru/product/noutbuk-asus-vivobook-pro-k3500pa-l1091w-i5-11300h-16gb-ssd512gb-15-6-1651630/
Ноутбук-трансформер IRBIS NB NB121 YOGA,черный,17 990,17 890,NB121,https://www.citilink.ru/product/noutbuk-irbis-nb-nb120-cel-n4020-4gb-emmc64gb-600-11-6-ips-touch-hd-w1-1512604/
Ноутбук Digma EVE 15 C413,темно-серый,17 990,17 490,ES5059EW,https://www.citilink.ru/product/noutbuk-digma-eve-15-s413-15-6-ips-intel-celeron-n3350-4gb-64gb-ssd-in-1456338/
Ноутбук HP 14s-fq0094ur,черный,30 990,30 890,3C8M4EA,https://www.citilink.ru/product/noutbuk-hp-14s-fq0094ur-ryzen-3-3250u-4gb-ssd128gb-14-ips-fhd-w10-blac-1473255/
Ноутбук Apple MacBook Air,золотой,177 990,177 890,Z12A0008Q,https://www.citilink.ru/product/noutbuk-apple-macbook-air-13-3-ips-apple-m1-16gb-256gb-ssd-mac-os-z12a-1451557/
Ноутбук ASUS Vivobook Pro 16X OLED N7600PC-L2048W,серый,115 990,115 890,90NB0UI2-M04420,https://www.citilink.ru/product/noutbuk-asus-n7600pc-l2048w-i5-11300h-16gb-ssd512gb-rtx-3050-4gb-16-ol-1583147/
Ноутбук ASUS VivoBook 15 OLED K513EA-L12779W,золотистый,54 990,54 890,90NB0SG3-M001Y0,https://www.citilink.ru/product/noutbuk-asus-k513ea-l12779w-i3-1115g4-8gb-ssd256gb-15-6-oled-fhd-w11-s-1618291/
Ноутбук IRBIS NB NB73,белый,13 990,13 890,NB73,https://www.citilink.ru/product/noutbuk-irbis-nb-nb73-atom-x5-j3455-4gb-ssd64gb-13-3-ips-touch-fhd-w10-1496742/
Ноутбук Acer Aspire 3 A315-23-R2QK,серебристый,34 990,34 890,NX.HVUER.005,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r2qk-ryzen-3-3250u-8gb-ssd128gb-15-6-fhd-1404135/
Ноутбук Lenovo IP Gaming 3 15ACH6,черный,89 990,89 890,82K2002BRK,https://www.citilink.ru/product/noutbuk-lenovo-ip-gaming-3-15ach6-ryzen-5-5600h-8gb-ssd512gb-rtx-3050-1490178/
Ноутбук HP 255 G8,темно-серебристый,27 990,27 890,3A5Y5EA,https://www.citilink.ru/product/noutbuk-hp-255-g8-athlon-3050u-4gb-ssd128gb-15-6-fhd-w10pro64-1490205/
Ноутбук IRBIS NB NB701,черный,18 990,18 890,NB701,https://www.citilink.ru/product/noutbuk-irbis-nb-nb701-cel-n4020-4gb-128gb-17-3-tn-hd-w10pro-black-400-1607641/
Ноутбук Lenovo IdeaPad 3 17ITL6,синий,40 990,40 890,82H9003PRU,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17itl6-pg-7505-8gb-ssd256gb-17-3-tn-hd-w10-bl-1487445/
Ноутбук Acer Aspire 5 A514-54-31W4,черный,44 990,44 890,NX.A22ER.00G,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a514-54-31w4-i3-1115g4-8gb-1tb-ssd128gb-14-ips-f-1521009/
Ноутбук HP 15s-eq1332ur,серый,23 990,23 890,3C8P3EA,https://www.citilink.ru/product/noutbuk-hp-15s-eq1332ur-athlon-3020e-4gb-ssd128gb-15-6-ips-fhd-w10-gre-1473416/
Ультрабук Honor MagicBook 14 2021,серебристый,64 990,64 890,5301AAHJ,https://www.citilink.ru/product/ultrabuk-honor-magicbook-14-2021-i5-1135g7-8gb-ssd512gb-14-ips-fhd-w10-1641103/
Ноутбук ASUS L210MA-GJ243T,синий,20 990,20 890,90NB0R41-M09020,https://www.citilink.ru/product/noutbuk-asus-l210ma-gj243t-cel-n4020-4gb-ssd128gb-11-6-hd-w10-1579467/
Ноутбук Acer Aspire 3 A315-34-C93F,черный,23 990,23 890,NX.HE3ER.01Q,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-34-c93f-pen-n6000-4gb-ssd256gb-15-6-fhd-esh-1521896/
Ноутбук HP 15s-fq0081ur,серый,23 990,23 890,3C8Q3EA,https://www.citilink.ru/product/noutbuk-hp-15s-fq0081ur-cel-n4020-4gb-ssd128gb-15-6-ips-fhd-w10-grey-1473320/
Ноутбук Acer Aspire 3 A317-53-78W9,серебристый,82 990,82 890,NX.AD0ER.01D,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a317-53-78w9-i7-1165g7-16gb-ssd512gb-17-3-ips-fh-1624997/
Ноутбук GIGABYTE G5 KC-5RU1130SH,черный,109 990,109 890,KC-5RU1130SH,https://www.citilink.ru/product/noutbuk-gigabyte-g5-kc-5ru1130sh-i5-10500h-6gb-ssd512gb-rtx-3060-8gb-1-1603759/
Ноутбук ASUS Vivobook Go 15 E510KA-BQ098T,черный,27 990,27 890,90NB0UJ5-M01510,https://www.citilink.ru/product/noutbuk-asus-e510ka-bq098t-pen-n6000-4gb-ssd128gb-15-6-ips-fhd-w10-bla-1561845/
Ноутбук Acer Aspire 3 A315-23-R91S,черный,40 990,40 890,NX.HVTER.01J,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r91s-ryzen-5-3500u-8gb-1tb-15-6-fhd-noos-1404161/
Ноутбук Lenovo IdeaPad 3 14ALC6,синий,49 990,49 890,82KT002VRK,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-14alc6-14-ips-amd-ryzen-3-5300u-8gb-512gb-ssd-1458431/
Ноутбук Lenovo IdeaPad 3 17ADA05,серый,37 990,37 890,81W2008CRU,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17ada05-athlon-3020e-8gb-ssd256gb-17-3-tn-hd-1492779/
Ноутбук HP 14s-dq2007ur,белый,34 990,34 890,2X1P1EA,https://www.citilink.ru/product/noutbuk-hp-14s-dq2007ur-14-ips-intel-pentium-gold-7505-4gb-256gb-ssd-i-1441682/
Ноутбук ASUS VivoBook K413JA-EB534,черный,49 990,49 890,90NB0RCF-M08060,https://www.citilink.ru/product/noutbuk-asus-k413ja-eb534-i5-1035g1-8gb-ssd512gb-14-ips-fhd-noos-1497747/
Ультрабук Honor MagicBook 15,серебристый,64 990,64 890,5301AAKG,https://www.citilink.ru/product/ultrabuk-honor-magicbook-15-ryzen-5-5500u-8gb-ssd512gb-15-6-ips-fhd-w1-1635680/
Ноутбук HP Omen 15-en1022ur,темно-серебристый,155 990,155 890,4L5Q7EA,https://www.citilink.ru/product/noutbuk-hp-omen-15-en1022ur-ryzen-7-5800u-16gb-ssd512gb-rtx-3070-8gb-1-1550160/
Ноутбук Acer Aspire 3 A315-35-C6YK,серебристый,25 990,25 890,NX.A6LER.00F,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-35-c6yk-15-6-intel-celeron-n4500-4gb-128gb-1438366/
Ноутбук ASUS Vivobook Go 14 E410KA-EB165T,синий,25 990,25 890,90NB0UA1-M02420,https://www.citilink.ru/product/noutbuk-asus-e410ka-eb165t-pen-n6000-4gb-ssd128gb-14-fhd-w10-blue-1561877/
Ноутбук Lenovo IdeaPad 1 11ADA05,серый,19 990,19 890,82GV003SRK,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-1-11ada05-athlon-3020e-4gb-ssd128gb-11-6-tn-hd-1492136/
Ноутбук Lenovo IdeaPad 3 14ITL6,серый,36 990,36 890,82H7009QRK,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-14itl6-14-ips-intel-pentium-gold-7505-8gb-256-1458366/
Ноутбук Acer Aspire 3 A315-56-53W1,черный,45 990,45 890,NX.HS5ER.00J,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-56-53w1-15-6-intel-core-i5-1035g1-1ggc-8gb-1194679/
Ноутбук Lenovo IP Gaming 3 15ACH6,черный,99 990,99 890,82K2006KRU,https://www.citilink.ru/product/noutbuk-lenovo-ip-gaming-3-15ach6-ryzen-5-5600h-8gb-ssd512gb-rtx-3060-1494938/
Ноутбук ASUS L210MA-GJ247T,черный,20 990,20 890,90NB0R44-M09090,https://www.citilink.ru/product/noutbuk-asus-l210ma-gj247t-cel-n4020-4gb-ssd128gb-11-6-hd-w10-1579593/
Ноутбук HP 255 G8,темно-серебристый,27 990,27 890,3A5Y6EA,https://www.citilink.ru/product/noutbuk-hp-255-g8-athlon-3150u-4gb-ssd128gb-15-6-fhd-w10pro64-1490260/
Ноутбук Acer Aspire 1 A115-32-C8RY,серебристый,25 990,25 890,NX.A6MER.00F,https://www.citilink.ru/product/noutbuk-acer-aspire-1-a115-32-c8ry-cel-n4500-8gb-emmc128gb-15-6-fhd-es-1521981/
Ноутбук Lenovo IdeaPad 3 15ADA05,серый,27 990,27 890,81W101CERK,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-15ada05-3020e-4gb-ssd256gb-15-6-ips-fhd-dos-g-1521606/
Ноутбук HP 15s-fq3031ur,серый,33 990,33 890,3T775EA,https://www.citilink.ru/product/noutbuk-hp-15s-fq3031ur-pen-n6000-4gb-ssd128gb-15-6-ips-fhd-w10-grey-1498559/
Ноутбук Acer Aspire 3 A315-23-R00X,черный,35 990,35 890,NX.HVTER.01C,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r00x-ryzen-3-3250u-8gb-1tb-15-6-fhd-noos-1404142/
